die,block,structure,material,timestamp,config,force_I_setting,v_measure,i_measure,smu_status
4,58,LW600,Pt,2025-01-07 12:39:36.325,LW600_P,0.000100000,0.01277435754910131,0.00010006,N
4,58,LW600,Pt,2025-01-07 12:39:36.835,LW600_P,-0.000100000,-0.012693701094577195,-0.00010004,N
4,58,LW600,Pt,2025-01-07 12:39:37.304,LW600_P,0.000500000,0.06368631090872183,0.00049998,N
4,58,LW600,Pt,2025-01-07 12:39:37.811,LW600_P,-0.000500000,-0.06361009334177181,-0.00049998,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:40.279,GC20_L_R0_P,0.000100000,0.00013782238658134694,9.998e-05,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:40.748,GC20_L_R0_P,-0.000100000,-5.0055478162459397e-05,-0.00010004,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:41.217,GC20_L_R0_P,0.000500000,0.0005147624565594972,0.00049996,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:41.707,GC20_L_R0_P,-0.000500000,-0.0004260641022054693,-0.00050002,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:42.239,GC20_L_R90_P,0.000100000,3.0382634260047615e-05,0.00010002,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:42.738,GC20_L_R90_P,-0.000100000,-0.00016045718444798957,-0.00010002,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:43.221,GC20_L_R90_P,0.000500000,0.00041006558094222996,0.00049996,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:43.685,GC20_L_R90_P,-0.000500000,-0.0005408289747301929,-0.00050004,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:44.203,GC20_L_R0_N,0.000100000,7.26248469144789e-05,0.00010006,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:44.688,GC20_L_R0_N,-0.000100000,-0.00011610506663661054,-0.00010002,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:45.185,GC20_L_R0_N,0.000500000,0.0004485658363670919,0.00049996,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:45.654,GC20_L_R0_N,-0.000500000,-0.0004933208210864874,-0.00050002,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:46.179,GC20_L_R90_N,0.000100000,0.0001633301842226766,0.00010006,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:46.653,GC20_L_R90_N,-0.000100000,-2.7354516022602394e-05,-0.00010006,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:47.133,GC20_L_R90_N,0.000500000,0.0005431711900019822,0.00049996,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:47.612,GC20_L_R90_N,-0.000500000,-0.00040737784113254323,-0.00050002,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:48.129,SC_P,0.000100000,0.006319950359275401,0.00010006,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:48.603,SC_P,-0.000100000,-0.006328208395731148,-0.00010002,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:49.081,SC_P,0.000500000,0.03160453841396477,0.00049996,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:49.566,SC_P,-0.000500000,-0.031615038684123895,-0.0005,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:50.092,SC_N,0.000100000,0.006328483345044283,9.998e-05,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:50.579,SC_N,-0.000100000,-0.00632016429042546,-0.0001,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:51.046,SC_N,0.000500000,0.03161257737316032,0.00049996,N
4,58,GC20_SC300,Pt,2025-01-07 12:39:51.570,SC_N,-0.000500000,-0.03160672109982225,-0.00049998,N
4,58,LW300,Ag,2025-01-07 12:39:54.061,LW300_P,0.000500000,0.0014583157185394879,0.00049996,N
4,58,LW300,Ag,2025-01-07 12:39:54.559,LW300_P,-0.000500000,-0.0013849285121658608,-0.00050004,N
4,58,LW300,Ag,2025-01-07 12:39:55.034,LW300_P,0.001000000,0.0028707163721025547,0.00099998,N
4,58,LW300,Ag,2025-01-07 12:39:55.500,LW300_P,-0.001000000,-0.002797172576948987,-0.00100006,N
4,58,LW300,Ag,2025-01-07 12:39:56.012,LW300_N,0.000500000,0.001402331186338428,0.00049996,N
4,58,LW300,Ag,2025-01-07 12:39:56.519,LW300_N,-0.000500000,-0.0014409564187238058,-0.00050002,N
4,58,LW300,Ag,2025-01-07 12:39:56.981,LW300_N,0.001000000,0.0028164513758464774,0.00099998,N
4,58,LW300,Ag,2025-01-07 12:39:57.502,LW300_N,-0.001000000,-0.0028549935353110417,-0.00100006,N
4,58,LW600,Ag,2025-01-07 12:39:59.977,LW600_N,0.000500000,0.0008464660129409694,0.00049992,N
4,58,LW600,Ag,2025-01-07 12:40:00.473,LW600_N,-0.000500000,-0.0008833033396323764,-0.00050002,N
4,58,LW600,Ag,2025-01-07 12:40:00.965,LW600_N,0.001000000,0.0017112227716327612,0.00099998,N
4,58,LW600,Ag,2025-01-07 12:40:01.454,LW600_N,-0.001000000,-0.0017480071669055965,-0.00100006,N
4,58,LW600,Ag,2025-01-07 12:40:01.986,LW600_P,0.000500000,0.0009024814218028628,0.00049998,N
