die,block,x,y,block_row,block_column,in_block_row,in_block_column,block_idx_in_die,material,structure,design
1,241,7425.0,520.0,15,13,1,1,241,unknown,cross_bridge,crossbridge2019
1,242,11552.5,520.0,15,14,1,1,242,unknown,cross_bridge,crossbridge2019
1,243,15680.0,520.0,15,15,1,1,243,unknown,cross_bridge,crossbridge2019
1,244,19807.5,520.0,15,16,1,1,244,unknown,cross_bridge,crossbridge2019
1,245,23935.0,520.0,15,17,1,1,245,unknown,cross_bridge,crossbridge2019
1,246,28062.5,520.0,15,18,1,1,246,unknown,cross_bridge,crossbridge2019
1,247,32190.0,520.0,15,19,1,1,247,unknown,cross_bridge,crossbridge2019
1,248,36317.5,520.0,15,20,1,1,248,unknown,cross_bridge,crossbridge2019
1,249,40445.0,520.0,15,21,1,1,249,unknown,cross_bridge,crossbridge2019
1,250,-42105.0,-2630.0,16,1,1,1,250,unknown,cross_bridge,crossbridge2019
1,251,-37977.5,-2630.0,16,2,1,1,251,unknown,cross_bridge,crossbridge2019
1,252,-33850.0,-2630.0,16,3,1,1,252,unknown,cross_bridge,crossbridge2019
1,253,-29722.5,-2630.0,16,4,1,1,253,unknown,cross_bridge,crossbridge2019
1,254,-25595.0,-2630.0,16,5,1,1,254,unknown,cross_bridge,crossbridge2019
1,255,-21467.5,-2630.0,16,6,1,1,255,unknown,cross_bridge,crossbridge2019
1,256,-17340.0,-2630.0,16,7,1,1,256,unknown,cross_bridge,crossbridge2019
1,257,-13212.5,-2630.0,16,8,1,1,257,unknown,cross_bridge,crossbridge2019
1,258,-9085.0,-2630.0,16,9,1,1,258,unknown,cross_bridge,crossbridge2019
1,259,-4957.5,-2630.0,16,10,1,1,259,unknown,cross_bridge,crossbridge2019
1,260,-830.0,-2630.0,16,11,1,1,260,unknown,cross_bridge,crossbridge2019
1,261,3297.5,-2630.0,16,12,1,1,261,unknown,cross_bridge,crossbridge2019
1,262,7425.0,-2630.0,16,13,1,1,262,unknown,cross_bridge,crossbridge2019
1,263,11552.5,-2630.0,16,14,1,1,263,unknown,cross_bridge,crossbridge2019
