die,block,pin_variation,curr_variation,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,structure,material
3,4,,,GC,GC20_L_R0,P,5e-05,5.15978382211265e-05,5.0010000000000004e-05,False,1,4,GC20_SC300,Pt_Cl
3,4,,,GC,GC20_L_R90,P,5e-05,5.1208026460468556e-05,5e-05,False,1,4,GC20_SC300,Pt_Cl
3,4,,,GC,GC20_L_R0,N,5e-05,5.11609548516344e-05,5.002e-05,False,1,4,GC20_SC300,Pt_Cl
3,4,,,GC,GC20_L_R90,N,5e-05,5.151987586899491e-05,5.002e-05,False,1,4,GC20_SC300,Pt_Cl
3,4,,,LW300,LW300,P,0.001,0.0009304806726905001,0.00100001,False,1,4,LW300,Ag
3,4,,,LW300,LW300,N,0.001,0.0009304850856538283,0.00100004,False,1,4,LW300,Ag
3,4,,,LW600,LW600,N,0.001,0.000990560226428433,0.00100004,False,1,4,LW600,Ag
3,4,,,LW600,LW600,P,0.001,0.000990495502966286,0.0010000299999999998,False,1,4,LW600,Ag
3,4,,,SC,SC,P,0.001,0.0011647354760292803,0.00100005,False,1,4,GC20_SC300,Ag
3,4,,,SC,SC,N,0.001,0.0011653356390419162,0.0010000299999999998,False,1,4,GC20_SC300,Ag
3,4,,,GC,GC20_L_R0,P,0.0005,5.308794883828307e-06,0.00050002,False,1,4,GC20_SC300,Ag
3,4,,,GC,GC20_L_R0,P,0.001,9.88209587962277e-06,0.00100006,False,1,4,GC20_SC300,Ag
3,4,,,GC,GC20_L_R90,P,0.0005,4.12023676076561e-06,0.0005,False,1,4,GC20_SC300,Ag
3,4,,,GC,GC20_L_R90,P,0.001,8.552322930057571e-06,0.00100006,False,1,4,GC20_SC300,Ag
3,4,,,GC,GC20_L_R0,N,0.0005,4.9425189275874515e-06,0.00050003,False,1,4,GC20_SC300,Ag
3,4,,,GC,GC20_L_R0,N,0.001,1.015422861819529e-05,0.00100005,False,1,4,GC20_SC300,Ag
